feature,feature_class,train_mean,spider_mean,median_abs_z,mean_z
wavelet-HLH_firstorder_RootMeanSquared,firstorder,1000.2746120058159,31.11860647875967,877.6001853184838,-876.0977499761839
wavelet-LHH_firstorder_RootMeanSquared,firstorder,1001.7570179116151,70.39064487661933,199.77878480488204,-198.40493202209288
wavelet-LHL_firstorder_RootMeanSquared,firstorder,1020.4769422175349,97.81047825782481,82.92464449234967,-82.43348323533628
wavelet-LLH_firstorder_RootMeanSquared,firstorder,1040.1049809439553,138.3815686769113,50.36126389940806,-50.21838358942569
original_firstorder_TotalEnergy,firstorder,11032753596.514975,116282494.02854817,3.5726061011803925,-3.5610966768690653
log-sigma-5-0-mm-3D_firstorder_TotalEnergy,firstorder,15269473851.937614,99758574.99296466,3.470687757238975,-3.468054642606816
log-sigma-5-0-mm-3D_glcm_Contrast,glcm,14.508235564787045,39.2907904248702,2.897219163158086,4.111798509712138
lbp-3D-m2_glszm_ZonePercentage,glszm,0.0394743917222904,0.08442237559280912,2.7066488713575527,3.3945422118761086
lbp-3D-m2_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,0.47385092849633925,0.7794330142579068,2.6797225644117257,3.5498619589789833
log-sigma-5-0-mm-3D_glszm_ZonePercentage,glszm,0.3007245503347194,0.529075901697392,2.64929928699589,2.6612225237636733
log-sigma-5-0-mm-3D_gldm_DependenceNonUniformityNormalized,gldm,0.18026705854838104,0.2794026625826784,2.5189776458078184,2.7302387936985704
log-sigma-3-0-mm-3D_glszm_ZonePercentage,glszm,0.32377200423699665,0.5747145427336884,2.5028156055944892,2.3932141641584983
log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,glszm,0.5643668412336024,0.7187537281145627,2.3806842126858663,2.3518237377121505
log-sigma-3-0-mm-3D_glcm_ClusterShade,glcm,139.9440194108655,1489.0939949336116,2.3587284957929766,3.317743577266396
log-sigma-4-0-mm-3D_gldm_DependenceNonUniformityNormalized,gldm,0.18620925604406066,0.29687304358259703,2.3513735966303035,2.5249505410345283
log-sigma-4-0-mm-3D_glszm_SmallAreaEmphasis,glszm,0.5538277639192731,0.7018893720166325,2.321071886649887,2.2800771873714356
log-sigma-5-0-mm-3D_glszm_SizeZoneNonUniformity,glszm,39.30983496723368,77.10542150756585,2.12577180070022,2.3717602858682647
log-sigma-4-0-mm-3D_glszm_SizeZoneNonUniformity,glszm,44.64905678340007,86.1756689008164,1.9535477600122093,2.2823403341691066
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformity,glszm,46.57036666541025,93.12954157569192,1.9405657028600363,2.335808169907982
exponential_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,0.004225643788743698,0.00862301721112282,1.930754148071338,3.55293407178898
lbp-3D-m1_glrlm_LongRunHighGrayLevelEmphasis,glrlm,18.895064508231602,14.64998048321304,1.9216345855425352,-1.8269439705855905
lbp-3D-m2_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,517.2230115312987,323.89761151345004,1.86459285554285,-1.8256226037012064
log-sigma-4-0-mm-3D_glcm_Imc1,glcm,-0.2408512513664561,-0.39928345955016115,1.8419212010737607,-2.157362336020911
lbp-3D-m2_gldm_LargeDependenceEmphasis,gldm,52.847745787591,37.400580343834626,1.8042372441049728,-1.7497635514851568
lbp-3D-m1_glszm_ZonePercentage,glszm,0.07216245371204157,0.12084760093358365,1.7670278815114986,2.5529373047732014
lbp-3D-k_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,0.009232670713926335,0.016751942689545548,1.7580557145775964,3.1631688883350626
wavelet-HLL_glszm_ZonePercentage,glszm,0.5046332621519334,0.6228799856324048,1.728174243038282,1.423225840685706
lbp-3D-m2_glrlm_LongRunEmphasis,glrlm,2.25695681594552,1.8967730388051687,1.7084304188894135,-1.617268117962223
wavelet-HHL_glszm_ZonePercentage,glszm,0.4440383565978668,0.5757378495302803,1.6989721359213361,1.4789493351310667
gradient_gldm_DependenceEntropy,gldm,5.871365527205708,5.5201571771782705,1.6817277917892859,-1.807851492176524
log-sigma-4-0-mm-3D_glcm_ClusterShade,glcm,25.955406842890458,672.218276655213,1.6810503639357832,1.472692590330244
lbp-3D-m2_glrlm_LongRunHighGrayLevelEmphasis,glrlm,22.194565393680122,16.581224380792495,1.6797924961127941,-1.5655758714115622
lbp-3D-m1_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,366.16753937734734,237.50322061191693,1.675890760033373,-1.6446367935789763
log-sigma-5-0-mm-3D_glcm_InverseVariance,glcm,0.3003910664953177,0.2203261212654559,1.652615391378356,-1.521707746824472
lbp-3D-k_firstorder_Minimum,firstorder,-1.6691668893632214,-1.4366651090495883,1.5978527512968694,1.5189853785368308
wavelet-HHH_glcm_MCC,glcm,0.5484601031040818,0.7231008114065578,1.5957386331084171,1.509449041393816
wavelet-LLH_glcm_SumEntropy,glcm,6.547002330181339,5.90208382239456,1.5838321622366953,-2.018324871027678
lbp-3D-m1_glrlm_HighGrayLevelRunEmphasis,glrlm,10.188422542260582,9.053608095247538,1.583363844107605,-1.242159782796873
wavelet-LHH_glcm_MCC,glcm,0.7428773916235606,0.8622108877538881,1.560401673564465,1.191461962471561
log-sigma-3-0-mm-3D_glcm_InverseVariance,glcm,0.29612959321145094,0.20598183373177453,1.538871144422763,-1.4052777399539513
wavelet-HLH_glszm_ZonePercentage,glszm,0.4965352716192765,0.6085928871543329,1.5319463516336045,1.2081174500792022
log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,glszm,0.06923530426232775,0.04367036186699537,1.5282168113289734,-1.4297809601194205
wavelet-LLH_glszm_ZoneEntropy,glszm,6.93434203728972,6.567143653247923,1.507476606787261,-1.514094822220704
log-sigma-5-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,glrlm,233.94021446893225,572.177118453091,1.5052463651853978,2.7850053376702046
